Metric,A1,R,S,F
Accuracy,0.6551724137931034,0.6724137931034483,0.5689655172413793,0.5689655172413793
Balanced accuracy,0.662962962962963,0.6777777777777777,0.5740740740740741,0.5740740740740741
Precision,0.676619644723093,0.6653365791296826,0.5718548692686624,0.5757575757575757
Recall,0.6551724137931034,0.6724137931034483,0.5689655172413793,0.5689655172413793
F1score,0.6503428110506151,0.6629863860639338,0.5569797742558499,0.5637480279468108
MCC,0.5928208539327031,0.6096027639648831,0.48902374626082,0.4863533302465224
