Metric,A1,R,S,F
Accuracy,0.3620689655172414,0.5862068965517241,0.6896551724137931,0.4482758620689655
Balanced accuracy,0.362962962962963,0.5851851851851851,0.7000000000000001,0.45
Precision,0.3544368635646526,0.5809313292071913,0.6810344827586207,0.4833527977544205
Recall,0.3620689655172414,0.5862068965517241,0.6896551724137931,0.4482758620689655
F1score,0.33974695063624283,0.5651731208899993,0.6746997649634566,0.4278598795840175
MCC,0.2392095522493579,0.5099914135622539,0.6325563249350237,0.35062583105970235
