Metric,A1,R,S,F
Accuracy,0.5862068965517241,0.5862068965517241,0.5517241379310345,0.5862068965517241
Balanced accuracy,0.5907407407407407,0.5888888888888889,0.5537037037037037,0.5907407407407407
Precision,0.57991452991453,0.6716300940438871,0.566709870589181,0.595051500223914
Recall,0.5862068965517241,0.5862068965517241,0.5517241379310345,0.5862068965517241
F1score,0.5671624201569756,0.5860133443297745,0.5553290728953671,0.5826459319359928
MCC,0.5093782610147077,0.5121755267523013,0.4629454754656099,0.5064692280750155
